powietrze,0.0012,0.000101,0.000101,0.000101,0.0
water,1000.0,2.25,2.25,2.25,0.0
steel,7850.0,268.5,104.4,268.5,82.0
tytan_grade2,4501.0,195.3,114.7,195.3,40.3
duraluminium_Pa6,2790.0,107.4,52.9,107.4,27.3
PIC181,7850.0,152.3,89.09,152.3,28.3
brass,8000.0,177.8,87.6,177.8,45.112781954887204
